name,floor,wall,roof,window,permeability,spec_wall_heat_cap,wall_density
Management School MC075_1,0.22,0.26,0.18,1.6,3,840,2000
Management School MC075_2,0.22,0.26,0.18,1.6,3,840,2000
Music Building MC013_0,0.22,0.26,0.18,1.6,3,840,2000
Music Building MC013_1,0.22,0.26,0.18,1.6,3,840,2000
Pendle College MC083_0,0.22,0.26,0.18,1.6,3,840,2000
Physics MC045_0,0.22,0.26,0.18,1.6,3,840,2000
Physics MC045_1,0.22,0.26,0.18,1.6,3,840,2000
Physics MC045_2,0.22,0.26,0.18,1.6,3,840,2000
Physics MC045_3,0.22,0.26,0.18,1.6,3,840,2000
Pre-School Centre MC067_0,0.22,0.26,0.18,1.6,3,840,2000
PSC MC171_0,0.22,0.26,0.18,1.6,3,840,2000
PSC MC171_1,0.22,0.26,0.18,1.6,3,840,2000
PSC MC171_2,0.22,0.26,0.18,1.6,3,840,2000
Roundhouse MC011 @ A3_0,0.22,0.26,0.18,1.6,3,840,2000
Roundhouse MC011 @ A3_1,0.22,0.26,0.18,1.6,3,840,2000
Ruskin Library MC066_1,0.22,0.26,0.18,1.6,3,840,2000
Ruskin Library MC066_2,0.22,0.26,0.18,1.6,3,840,2000
Science and Technology MC076_0,0.22,0.26,0.18,1.6,3,840,2000
Science and Technology MC076_1,0.22,0.26,0.18,1.6,3,840,2000
Science and Technology MC076_2,0.22,0.26,0.18,1.6,3,840,2000
Security Lodge MC050_0,0.22,0.26,0.18,1.6,3,840,2000
Security Lodge MC050_1,0.22,0.26,0.18,1.6,3,840,2000
Slaidburn House MC063_0,0.22,0.26,0.18,1.6,3,840,2000
Slaidburn House MC063_1,0.22,0.26,0.18,1.6,3,840,2000
Slaidburn House MC063_2,0.22,0.26,0.18,1.6,3,840,2000
Slaidburn House MC063_3,0.22,0.26,0.18,1.6,3,840,2000
Slaidburn House MC063_4,0.22,0.26,0.18,1.6,3,840,2000
Slaidburn House MC063_5,0.22,0.26,0.18,1.6,3,840,2000
Sports Centre MC204_0,0.22,0.26,0.18,1.6,3,840,2000
University House MC051_0,0.22,0.26,0.18,1.6,3,840,2000
University House MC051_1,0.22,0.26,0.18,1.6,3,840,2000
University House MC051_2,0.22,0.26,0.18,1.6,3,840,2000
University House MC051_3,0.22,0.26,0.18,1.6,3,840,2000
Welcome Centre MC047_0,0.22,0.26,0.18,1.6,3,840,2000
Whewell Building MC077_0,0.22,0.26,0.18,1.6,3,840,2000
Whewell Building MC077_1,0.22,0.26,0.18,1.6,3,840,2000
