,time,Output Power;voltage;Avg,Energy generated (kWh),energy_rolling_avg
868,14-28-00,487.8344340488217,7.910842827600339,7.904451125170631
869,14-29-00,490.35411649831667,7.951702399672402,7.922228469423973
870,14-30-00,492.0272749999993,7.978835208845196,7.944135996314498
871,14-31-00,490.0887194444447,7.947399198744196,7.948177715943215
872,14-32-00,500.4853917508414,8.11599317908819,7.980954562790065
873,14-33-00,497.02633771043753,8.059900895440888,8.010766176358175
874,14-34-00,494.97715471380496,8.026670948675955,8.025759886158886
875,14-35-00,491.3312347643098,7.967548312858322,8.02350250696151
876,14-36-00,491.7062202020192,7.973628913458916,8.028748449904453
877,14-37-00,487.65921161616194,7.908002383292381,7.987150290745293
878,14-38-00,485.49323400673427,7.872877979797967,7.949745707616708
879,14-39-00,484.3525371212116,7.8543796860496835,7.915287455091454
880,14-40-00,485.24164907407345,7.868797957957956,7.895537384111381
881,14-41-00,488.5777519360262,7.922896730821731,7.885390947583943
882,14-42-00,503.47354553872003,8.164449873054865,7.936680445536441
883,14-43-00,496.37823308080846,8.049390917280915,7.9719830330330295
884,14-44-00,492.42292138047077,7.985250801255806,7.998157256074255
885,14-45-00,497.8507761784519,8.073270023205032,8.039051669123669
886,14-46-00,494.9397363636361,8.026064433524441,8.059685209664213
887,14-47-00,482.8980930134675,7.830794054054055,7.9929540458640504
888,14-48-00,480.8174732323225,7.797055247065242,7.942486911820916
889,14-49-00,475.69388939393957,7.7139700286650426,7.888230757302763
890,14-50-00,473.5419600168355,7.679073195468197,7.809391391755395
891,14-51-00,478.3349710437713,7.756797725907723,7.755538050232052
892,14-52-00,474.07264090909126,7.687679295659307,7.7269150985531025
893,14-53-00,469.4872910774405,7.61332261124761,7.6901685713895755
894,14-54-00,467.4196823232324,7.579793553098554,7.663333276276278
895,14-55-00,475.87591346801327,7.716921676221664,7.670902972426971
896,14-56-00,469.3583632996624,7.6112308203658126,7.641789591318589
897,14-57-00,473.6485060606058,7.680800996451001,7.640413931476928
898,14-58-00,470.1910803195961,7.631153207753203,7.6439800507780475
899,14-59-00,473.7743047939442,7.689308073983078,7.665882954954952
900,15-00-00,466.2111742640864,7.566559987714989,7.635810617253616
901,15-01-00,461.65102624053844,7.492549175539168,7.612074288288288
902,15-02-00,459.8197987384355,7.462828038493037,7.568479696696696
903,15-03-00,466.8061190075695,7.576216324051332,7.557492319956322
904,15-04-00,471.3766446593772,7.650394613704627,7.549709627900631
905,15-05-00,469.38236989066434,7.618028020748023,7.560003234507238
906,15-06-00,466.5912576955429,7.572728205023207,7.576039040404045
907,15-07-00,463.8186019343984,7.52772815315315,7.5890190633360675
908,15-08-00,467.9341020185029,7.594523043953044,7.5926804073164105
